orgao,previsto,lancado,realizado
Advocacia-Geral da União,1491430372.0,0.0,0.0
Controladoria-Geral da União,103883676.0,0.0,0.0
"Ministério da Agricultura, Pecuária e Abastec",14146484827.0,0.0,837559436.8100011
Ministério da Cidadania,3208425425.0,10148689.56,183425103.30000004
"Ministério da Ciência, Tecnologia, Inovações ",11273749096.0,0.0,827241327.4099997
Ministério da Defesa,58168386807.0,0.0,1990865514.219996
Ministério da Economia,2665393025638.0,683553345563.2999,389374637624.33044
Ministério da Educação,55137434636.0,799106.0800000001,4143863272.8699713
Ministério da Infraestrutura,20751208988.0,0.0,2686762311.000001
Ministério da Justiça e Segurança Pública,8364629283.0,0.0,844411578.9699992
"Ministério da Mulher, Família e Direitos Huma",217236207.0,0.0,2245459.4200000004
Ministério da Previdência Social,650383659247.0,0.0,40972785479.88993
Ministério da Saúde,7062811223.0,1311000.42,470192469.3299993
Ministério das Relações Exteriores,1449976625.0,0.0,40174143.93000001
Ministério de Minas e Energia,49214339487.0,3606374641.58,2270153024.7899976
Ministério do Desenvolvimento Regional,16959763708.0,0.0,234509786.4500001
Ministério do Meio Ambiente,1953713652.0,0.0,122364828.5600001
Ministério do Turismo,118414282.0,0.0,7381630.180000001
Presidência da República,10949893944.0,0.0,632235597.0400003
